order_id,date,region,product,category,unit_price,quantity,total_price
1001,2025-01-01,홍대점,카페라떼,음료,5000,1,5000
1002,2025-01-01,신촌점,카푸치노,음료,5000,1,5000
1003,2025-01-01,신촌점,카페라떼,음료,5000,2,10000
1004,2025-01-01,강남점,카페라떼,음료,5000,1,5000
1005,2025-01-01,강남점,아메리카노,음료,4500,1,4500
1006,2025-01-01,신촌점,크루아상,베이커리,4500,2,9000
1007,2025-01-01,신촌점,카푸치노,음료,5000,2,10000
1008,2025-01-01,홍대점,크루아상,베이커리,4500,1,4500
1009,2025-01-02,강남점,크로플,디저트,6000,2,12000
1010,2025-01-02,홍대점,바닐라라떼,음료,5500,2,11000
1011,2025-01-02,홍대점,크로플,디저트,6000,1,6000
1012,2025-01-02,강남점,카페라떼,음료,5000,1,5000
1013,2025-01-02,신촌점,치즈케이크,디저트,6500,2,13000
1014,2025-01-02,신촌점,크로플,디저트,6000,2,12000
1015,2025-01-02,홍대점,샌드위치,베이커리,7000,1,7000
1016,2025-01-03,신촌점,크루아상,베이커리,4500,1,4500
1017,2025-01-03,홍대점,휘낭시에,디저트,3500,2,7000
1018,2025-01-03,강남점,휘낭시에,디저트,3500,1,3500
1019,2025-01-04,강남점,카푸치노,음료,5000,2,10000
1020,2025-01-04,홍대점,카푸치노,음료,5000,2,10000
1021,2025-01-04,홍대점,크로플,디저트,6000,1,6000
1022,2025-01-05,신촌점,치즈케이크,디저트,6500,1,6500
1023,2025-01-05,신촌점,크로플,디저트,6000,2,12000
1024,2025-01-05,강남점,카페라떼,음료,5000,2,10000
1025,2025-01-05,강남점,크루아상,베이커리,4500,2,9000
1026,2025-01-06,신촌점,스콘,디저트,4000,1,4000
1027,2025-01-06,홍대점,크루아상,베이커리,4500,1,4500
1028,2025-01-06,강남점,아메리카노,음료,4500,1,4500
1029,2025-01-06,강남점,치즈케이크,디저트,6500,1,6500
1030,2025-01-06,신촌점,카푸치노,음료,5000,3,15000
1031,2025-01-06,홍대점,치즈케이크,디저트,6500,1,6500
1032,2025-01-07,강남점,샌드위치,베이커리,7000,1,7000
1033,2025-01-07,신촌점,카푸치노,음료,5000,2,10000
1034,2025-01-07,홍대점,크로플,디저트,6000,2,12000
1035,2025-01-07,강남점,휘낭시에,디저트,3500,1,3500
1036,2025-01-07,강남점,바닐라라떼,음료,5500,1,5500
1037,2025-01-07,강남점,아메리카노,음료,4500,2,9000
1038,2025-01-08,홍대점,바닐라라떼,음료,5500,2,11000
1039,2025-01-08,홍대점,휘낭시에,디저트,3500,1,3500
1040,2025-01-08,신촌점,휘낭시에,디저트,3500,3,10500
1041,2025-01-08,강남점,크로플,디저트,6000,3,18000
1042,2025-01-08,신촌점,카페라떼,음료,5000,2,10000
1043,2025-01-08,홍대점,크로플,디저트,6000,2,12000
1044,2025-01-08,강남점,카페라떼,음료,5000,1,5000
1045,2025-01-08,신촌점,샌드위치,베이커리,7000,1,7000
1046,2025-01-09,강남점,크로플,디저트,6000,3,18000
1047,2025-01-09,신촌점,크루아상,베이커리,4500,3,13500
1048,2025-01-09,신촌점,크로플,디저트,6000,2,12000
1049,2025-01-09,홍대점,휘낭시에,디저트,3500,1,3500
1050,2025-01-09,신촌점,바닐라라떼,음료,5500,1,5500
1051,2025-01-09,홍대점,아메리카노,음료,4500,1,4500
1052,2025-01-09,홍대점,아메리카노,음료,4500,1,4500
1053,2025-01-09,강남점,크로플,디저트,6000,1,6000
1054,2025-01-10,홍대점,카페라떼,음료,5000,1,5000
1055,2025-01-10,신촌점,카페라떼,음료,5000,3,15000
1056,2025-01-10,홍대점,바닐라라떼,음료,5500,1,5500
1057,2025-01-10,신촌점,크루아상,베이커리,4500,1,4500
1058,2025-01-10,강남점,휘낭시에,디저트,3500,1,3500
1059,2025-01-10,신촌점,크루아상,베이커리,4500,2,9000
1060,2025-01-10,홍대점,카푸치노,음료,5000,2,10000
1061,2025-01-11,신촌점,치즈케이크,디저트,6500,1,6500
1062,2025-01-11,강남점,샌드위치,베이커리,7000,1,7000
1063,2025-01-11,신촌점,카페라떼,음료,5000,1,5000
1064,2025-01-11,강남점,크루아상,베이커리,4500,1,4500
1065,2025-01-11,신촌점,아메리카노,음료,4500,1,4500
1066,2025-01-11,강남점,아메리카노,음료,4500,1,4500
1067,2025-01-11,강남점,치즈케이크,디저트,6500,1,6500
1068,2025-01-11,강남점,크로플,디저트,6000,2,12000
1069,2025-01-12,신촌점,바닐라라떼,음료,5500,2,11000
1070,2025-01-12,홍대점,휘낭시에,디저트,3500,1,3500
1071,2025-01-12,강남점,스콘,디저트,4000,1,4000
1072,2025-01-12,홍대점,스콘,디저트,4000,1,4000
1073,2025-01-12,강남점,샌드위치,베이커리,7000,2,14000
1074,2025-01-12,신촌점,카페라떼,음료,5000,1,5000
1075,2025-01-12,강남점,치즈케이크,디저트,6500,2,13000
1076,2025-01-13,홍대점,카푸치노,음료,5000,1,5000
1077,2025-01-13,홍대점,바닐라라떼,음료,5500,1,5500
1078,2025-01-13,강남점,샌드위치,베이커리,7000,1,7000
1079,2025-01-13,신촌점,샌드위치,베이커리,7000,2,14000
1080,2025-01-14,신촌점,아메리카노,음료,4500,2,9000
1081,2025-01-14,강남점,아메리카노,음료,4500,3,13500
1082,2025-01-14,홍대점,바닐라라떼,음료,5500,1,5500
1083,2025-01-15,강남점,스콘,디저트,4000,3,12000
1084,2025-01-15,홍대점,스콘,디저트,4000,1,4000
1085,2025-01-15,홍대점,크로플,디저트,6000,3,18000
1086,2025-01-15,신촌점,크로플,디저트,6000,1,6000
